denominazione,anno,totale_alunni,tipologia,lat,lon,via
Asilo Nido Arcobaleno,2024,65,Asilo nido,45.4612,9.185,Via Roma 12
Asilo Nido Girotondo,2024,58,Asilo nido,45.468,9.1942,Via Garibaldi 45
Asilo Nido Stelle,2024,42,Asilo nido,45.4598,9.1975,Via Manzoni 22
Scuola Materna San Giuseppe,2024,145,Materna,45.4625,9.1888,Via Mazzini 8
Scuola Materna G. Rodari,2024,132,Materna,45.466,9.192,Via Verdi 18
Scuola Materna Don Bosco,2024,98,Materna,45.4602,9.193,Via Don Bosco 5
Scuola Primaria E. De Amicis,2024,320,Elementare,45.4634,9.1875,Piazza Marconi 3
Scuola Primaria G. Carducci,2024,285,Elementare,45.4668,9.1905,Via Carducci 14
Scuola Primaria A. Manzoni,2024,244,Elementare,45.4605,9.1958,Viale Europa 10
Scuola Media G. Pascoli,2024,412,Media,45.464,9.1915,Via Pascoli 7
Scuola Media L. Da Vinci,2024,388,Media,45.467,9.1888,Via Leonardo 22
Liceo Scientifico G. Galilei,2024,685,Superiore,45.4655,9.186,Via Galilei 1
Liceo Classico G. Carducci,2024,425,Superiore,45.4628,9.19,Via Carducci 50
Liceo Linguistico A. Manzoni,2024,510,Superiore,45.4612,9.1948,Via Manzoni 80
ITIS A. Volta,2024,745,Superiore,45.4685,9.182,Via Volta 15
IPSIA Don Milani,2024,380,Superiore,45.4595,9.1985,Via Don Milani 3
Istituto Tecnico Commerciale E. Mattei,2024,540,Superiore,45.465,9.193,Via Mattei 12
IPSAR L. Da Vinci,2024,295,Superiore,45.4625,9.186,Via Da Vinci 88
